Key,english
mushroom01,Small Mushroom
mushroom02,Large Mushroom
plantedAloe3Harvest,Aloe
plantedBlueberry3Harvest,Blueberries
plantedChrysanthemum3Harvest,Chrysanthemums
plantedCoffee3Harvest,Coffee
plantedCorn2Deco,Corn
plantedCorn3Harvest,Corn
plantedCotton3Harvest,Cotton
plantedGoldenrod3Harvest,Goldenrod
plantedGraceCorn3Harvest,Super Corn
plantedHop3Harvest,Hops
plantedMushroom3Harvest,Mushrooms
plantedPotato3Harvest,Potatoes
plantedPumpkin3Harvest,Pumpkins
plantedYucca3Harvest,Yucca
plantedAloe3HarvestPlayer,Aloe
plantedBlueberry3HarvestPlayer,Blueberries
plantedChrysanthemum3HarvestPlayer,Chrysanthemums
plantedCoffee3HarvestPlayer,Coffee
plantedCorn3HarvestPlayer,Corn
plantedCotton3HarvestPlayer,Cotton
plantedGoldenrod3HarvestPlayer,Goldenrod
plantedGraceCorn3HarvestPlayer,Super Corn
plantedHop3HarvestPlayer,Hops
plantedMushroom3HarvestPlayer,Mushrooms
plantedPotato3HarvestPlayer,Potatoes
plantedPumpkin3HarvestPlayer,Pumpkins
plantedYucca3HarvestPlayer,Yucca
plantedAloe3HarvestBiome,Aloe
plantedYucca3HarvestBiome,Yucca
plantedBlueberry3HarvestBiome,Blueberries
plantedChrysanthemumHarvestBiome,Chrysanthemum
plantedGoldenrodHarvestBiome,Goldenrod
plantedCottonHarvestBiome,Cotton

drinkJarBoiledWater,"Boiled Water"
drinkJarBoiledWaterDesc,"Almost safe to drink ..."
drinkJarDistilledWater,"Distilled Water"
drinkJarDistilledWaterDesc,"Safe to drink, and as fresh as you can get in the apocalypse."
toolWaterDistillery,"Water Distiller"
toolWaterDistilleryDesc,"A utensil used in a campfire to purify water."

perkWellInsulatedRank1Desc,"Mildly Weather Tolerant"
perkWellInsulatedRank1LongDesc,"You like mild weather, but can handle a bit of temperature fluctuation. Gain 5 insulation against heat and cold, and lose 5% less food and water when cold or overheating."
perkWellInsulatedRank2Desc,"Moderately Weather Resistant"
perkWellInsulatedRank2LongDesc,"You are resistant to some pretty intense weather and lose 10% less food and water when cold or overheating. Grants 10 insulation against both heat and cold."
perkWellInsulatedRank3Desc,"Robustly Weather Tolerant"
perkWellInsulatedRank3LongDesc,"You're starting to get hardened against the elements. Lose 15% less food and water when cold or overheating. Grants 15 insulation against both heat and cold."
perkWellInsulatedRank4Desc,"Intensely Weather Hardened"
perkWellInsulatedRank4LongDesc,"Harsher environments aren't bothering you much these days. Lose 20% less food and water when cold or overheating. Grants 20 insulation against both heat and cold."
perkWellInsulatedRank5Desc,"Extremely Weather Hardened"
perkWellInsulatedRank5LongDesc,"You can now handle severe weather and typically couldn't care less what the weather conditions are. You will never have the more severe stages of temperature status effects"

perkPhysicianRank3LongDesc,"Treated Critical injuries heal 50% faster.\nMedical healing items heal 100% more health over time.\nGain 500% more XP using bandages, first aid bandages, first aid kits and splints."

perkDeepCutsRank1LongDesc,"You might have a dull blade, but you know how to use it. Bladed weapons deal 10% more damage. Stamina costs are reduced by 8% and 15% for power attacks. Find more bladed weapons and parts in loot."
perkDeepCutsRank2LongDesc,Your friends say you're a really knife guy. Bladed weapons deal 20% more damage. Find more bladed weapons and parts in loot.
perkDeepCutsRank3LongDesc,You're a cut above the rest. Bladed weapons deal 30% more damage. Stamina costs are reduced by 20% and 40% for power attacks. Killing blows grant 10 stamina. Find more bladed weapons and parts in loot.
perkDeepCutsRank4LongDesc,You're quite lethal with bladed weapons. Bladed weapons deal 40% more damage. Stamina costs are reduced by 25% and 50% for power attacks. Killing blows grant 20 stamina. Find more bladed weapons and parts in loot.
perkDeepCutsRank5LongDesc,You're a samurai and can make sushi out of your foes. Bladed weapons deal 50% more damage. Killing blows grant 30 stamina. Find more bladed weapons and parts in loot.

perkBetterBarterDesc,"Specialize in convincing area traders to give you a better deal, and to show more of their stock"
perkBetterBarterName,Better Barter
perkBetterBarterRank1Desc,Wheeler Dealer
perkBetterBarterRank1LongDesc,You are good at wheeling and dealing and never pay full price for anything. Get a 5% better deal buying and selling merchandise with traders.\nTraders have more stock.
perkBetterBarterRank2Desc,Salesman
perkBetterBarterRank2LongDesc,You must have been a salesman before the apocalypse with the kind of good deals you find. Get a 10% better deal buying and selling with traders.\nTraders have even more stock.
perkBetterBarterRank3Desc,Sales Manager
perkBetterBarterRank3LongDesc,You act like a sales manager and have authority to cut the best deals. Get a 15% better deal buying and selling with traders.\nTraders have better stock.
perkBetterBarterRank4Desc,Wall Street Tycoon
perkBetterBarterRank4LongDesc,You would do well if the stock market still existed. Get a 20% better deal buying and selling with traders.\nTraders have even better stock.
perkBetterBarterRank5Desc,Corporate Marketing CEO
perkBetterBarterRank5LongDesc,You are like a Corporate Manager and buy goods at the lowest prices and sell for a huge profit. Get a 25% better deal buying and selling with traders.\nTraders have the best stock.

buffT0FoodTimeTrackName,"Basic Food/Drink"
buffT0FoodTimeTrackDesc,"You have consumed some very basic food or drink, and your wellness has improved a tiny amount.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT0FoodTimeTrackToolTip,"wellness has improved a tiny amount"
buffT1FoodTimeTrackName,"Decent Food/Drink"
buffT1FoodTimeTrackDesc,"You have consumed some basic food or drink, and your wellness has improved a little.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT1FoodTimeTrackToolTip,"wellness has improved a little"
buffT2FoodTimeTrackName,"Average Food/Drink"
buffT2FoodTimeTrackDesc,"You have consumed some decent food or drink, and your wellness has improved slightly.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT2FoodTimeTrackToolTip,"wellness has improved slightly"
buffT3FoodTimeTrackName,"Good Food/Drink"
buffT3FoodTimeTrackDesc,"You have consumed some good food or drink, and your wellness has improved a lot.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT3FoodTimeTrackToolTip,"wellness has improved a lot"
buffT4FoodTimeTrackName,"Excellent Food/Drink"
buffT4FoodTimeTrackDesc,"You have consumed some excellent food or drink, and your wellness has improved greatly.\n\nYou'll need to wait a while until you can improve your wellness again."
buffT4FoodTimeTrackToolTip,"wellness has improved greatly"

buffDespairCureDisplayName,Treated Despair
buffDespairCureDisplayDesc,You are feeling optimistic about your chances of surviving.
buffDespair01UntreatedName,Despair
buffDespair01UntreatedDesc,"You are not very optimistic about your survival.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nResting on a bed near a campfire while sheltered will help ..."
buffDespair01UntreatedTooltip,It's feeling a little hopeless ...
buffDespair01GetBetterName,Feeling Better
buffDespair01GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair02UntreatedName,Isolation
buffDespair02UntreatedDesc,"You are starting to feel worse about your chances of survival.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nStamina regen is 12.5% slower."
buffDespair02GetBetterName,Feeling Better
buffDespair02GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair03UntreatedName,Depths of despair
buffDespair03UntreatedDesc,"You feel the outlook is bleak, and are close to giving up.\n\nEating certain foods, finding warmth and shelter, or taking medication will help you start to feel better.\n\nStamina regen is 25% slower.\nAll Attributes are lowered by 1."
buffDespair03GetBetterName,Feeling Better
buffDespair03GetBetterDesc,"You have taken something - medication, food or drink, that is helping to treat your despair."
buffDespair04Tooltip,The hopelessness of your situation has gotten too much for you to bear.
buffDespairCureDisplayPositive01Name,Hope
